Ticker,SMA_20,SMA_50,SMA_100,SMA_150,SMA_200,Best_SMA,Golden_Cross_50_200,Golden_Cross_20_150,Golden_Cross_50_150
NTAP,8.262453177178209,14.113043008302428,7.883304636827448,4.602713158415761,34.276660327499485,SMA_200,72.65808278709967,27.046663997505572,45.70283831705802
NVDA,188.10092347265416,172.24474097379243,184.01796821213608,140.768495131208,208.70515126985154,SMA_200,178.00658471056695,177.99307208571892,212.20347316178572
META,10.296411939706307,58.74891823489151,189.87846042467075,194.93631847100124,131.16142724104245,SMA_150,99.54429511319121,134.6173517077741,151.59572236108133
SMCI,77.33562719528122,54.88520149910365,197.64218897112335,297.3095750163128,335.9825126691795,SMA_200,381.1510664690081,220.92391775081862,289.45861811486793
LLY,60.308196869094374,11.011852423021583,69.766993975487,83.1507840573784,108.28516701218467,SMA_200,95.62685169410548,75.44929453575539,44.276211198624694
SPY,-1.0268095561776103,-8.910664521012235,5.021598426682228,-6.8399366509344866,7.928350020370911,SMA_200,24.56795701107126,2.4949509490277744,18.956314389362927
QQQ,21.899802661441502,39.56192951620844,35.6893233998689,47.920846509100286,42.2422719033268,SMA_150,54.51306767306453,30.019411055546218,44.427062412137765
BTC-USD,-18.932071355107173,102.83901109935172,94.58481037841379,141.9258138058237,168.91975201683505,SMA_200,97.31754386011724,118.07891470756971,88.83266791303357
TSLA,154.5172574422054,35.848425690861,-20.117169390602907,-59.1894046196229,-23.55932975082795,SMA_20,-58.9266131599997,-99.57593155212838,3.741743219033533
SNOW,-126.080081147018,10.337047207106043,-101.51894815236156,-86.55354195417186,-113.81770784633858,SMA_50,-66.98227484098192,-163.88546868584038,-84.07592559477789
MSFT,-29.742847657702175,45.50802492824556,8.867590430888782,12.470598613959648,40.89798658066876,SMA_50,46.65645190641477,25.585096336356084,46.71487632272746
GOOG,2.0480921587432754,-87.08919277400027,-2.145388589242625,25.66920264883288,33.94750434563662,SMA_200,66.70946893262811,65.81127123823565,72.755740405488
AAPL,60.796741474748174,13.848066154686157,-19.16171103608302,-75.86371330328532,-22.324824248759967,SMA_20,-35.876808705621976,-52.576801561208285,-63.42188237249157
NFLX,80.80666007247542,131.85215199768325,128.7200634162852,141.3091718306516,58.06359627077152,SMA_150,87.10161535041897,91.25849875495014,73.80288471416551
CRWD,-19.912921122097405,33.30293236575722,39.50827413232418,50.081342061042776,65.6457646489967,SMA_200,93.18449955871908,56.82343534367571,115.51092989127554
PANW,-64.15822208901892,-116.41697145189518,-94.5959464338041,-2.19814877436868,17.581960357737213,SMA_200,43.91531135736278,-16.01003772729066,16.747857079052153
