Ticker,SMA_20,SMA_50,SMA_100,SMA_150,SMA_200,Best_SMA,Golden_Cross_50_200,Golden_Cross_20_150,Golden_Cross_50_150,Time_Frame
NTAP,31.133151482916787,23.766820947245883,40.9755613874186,31.558704580923557,12.830286861329887,SMA_100,12.830286861329887,31.558704580923557,31.558704580923557,1y
NVDA,27.043818752417803,18.11923327222732,85.06298227702698,84.80831765027548,21.516464905209652,SMA_100,21.516464905209652,84.80831765027548,84.80831765027548,1y
META,23.952890391956384,12.527979556974556,33.02573952489516,36.16435836476815,-1.5688472070692239,SMA_150,-1.5688472070692239,36.16435836476815,36.16435836476815,1y
SMCI,82.69997116627607,31.560589052782074,113.20493319527729,142.75113167397467,-15.125679365799405,SMA_150,-15.125679365799405,142.75113167397467,142.75113167397467,1y
LLY,2.672102423387357,2.093743004867832,33.6661162355301,32.54280678913689,6.661725287502829,SMA_100,6.661725287502829,32.54280678913689,32.54280678913689,1y
SPY,12.881360907513706,10.728061964432989,15.340391941719556,11.608202065713947,2.902850337415519,SMA_100,2.902850337415519,11.608202065713947,11.608202065713947,1y
QQQ,1.8605160829940681,5.941765319837177,14.235426826122954,13.376446057799562,4.420694155837957,SMA_100,4.420694155837957,13.376446057799562,13.376446057799562,1y
BTC-USD,-13.28229419180933,78.2779535855051,48.44375053646648,77.29099726241753,53.90165604574246,SMA_50,53.90165604574246,77.29099726241753,77.25816396539494,1y
TSLA,9.066162440256953,-61.319410089130244,-2.434562953617614,18.409693548593243,-13.616755493187139,SMA_150,-13.616755493187139,15.529993323886304,26.436423517347794,1y
SNOW,-39.014128883185386,8.887254124427201,14.092190376204972,-2.1496809921956683,0.8177560386880889,SMA_100,-6.397724068379363,-12.418203946449625,-21.834379291754434,1y
MSFT,4.921807944629331,16.615797466503945,-0.2920436647166791,15.578415910780208,1.5065451559770793,SMA_50,1.5065451559770793,15.578415910780208,15.578415910780208,1y
GOOG,-14.218261562902912,-22.932819978240136,-5.5342528779094735,18.10635916386929,20.98293583318972,SMA_200,20.98293583318972,25.14155983294819,25.14155983294819,1y
AAPL,7.640261967821315,5.183132237893862,-9.221439255846974,-11.456055543851152,-2.7813672847458615,SMA_20,-10.01571539790439,-21.043890690373946,-17.352563744716644,1y
NFLX,14.493856841206954,20.42154173154671,35.97414243027862,34.4895849959769,6.499297502723433,SMA_100,6.499297502723433,34.4895849959769,34.4895849959769,1y
CRWD,-5.1709670187788825,47.95955866476096,49.79470049401075,38.8246550455408,7.698013292873085,SMA_100,7.698013292873085,38.8246550455408,38.8246550455408,1y
PANW,-35.62204059313604,-32.314202914651545,-23.726818755251145,-13.186560633889876,2.6453873279853046,SMA_200,11.943955869530399,-8.560586312224538,-2.8257676504131357,1y
NTAP,57.1671817702726,20.59944726777464,14.839077266197254,30.068370983117276,42.22294775895752,SMA_20,31.466254076223766,32.92433321298584,39.21544466331455,2y
NVDA,151.40517294140298,122.07523731091894,148.69314719752066,199.35201928332788,155.9291700995085,SMA_150,155.9291700995085,217.5311453995283,209.7026520727915,2y
META,52.52135086665193,90.16261148214593,117.64616789983076,117.68779243589779,92.49806449192326,SMA_150,92.49806449192326,57.368825672670674,74.34719632597786,2y
SMCI,129.86346025381891,111.30956935786173,243.3372012501435,277.7943952379351,273.69728122180044,SMA_150,273.69728122180044,292.83199459428636,292.83199459428636,2y
LLY,27.744270790659908,35.633546407438054,85.97070287839517,74.91632949514715,89.14818118326532,SMA_200,74.0648025512933,60.586556913380996,31.402988584808433,2y
SPY,-2.273102695739515,-12.948415953136728,10.011593609002912,13.175836133106522,19.919578011865624,SMA_200,29.856171294362653,6.831480312293559,23.868886548676972,2y
QQQ,20.872100939070613,14.706955589830596,23.262380848673423,31.282691650472394,41.59988655659199,SMA_200,41.59988655659199,24.66613827039548,35.777527056724054,2y
BTC-USD,-47.43319372121746,62.42106346977609,41.545071331503216,115.78667455716692,109.97143421846047,SMA_150,35.757779821294235,80.92317442781624,49.53132584065126,2y
TSLA,144.05479396749973,34.40999877305468,-12.364361644792176,-43.810429277551286,-2.181021551623219,SMA_20,-59.68900519514676,-58.231632066223895,-2.051799933457732,2y
SNOW,-166.36957503371002,-39.006144923164335,-88.4502095472887,-54.01357255468786,-61.76980060724523,SMA_50,-57.731815901393034,-113.68834411635032,-102.37804169747645,2y
MSFT,-8.198680608479991,31.483069362746097,-0.1256415856872528,41.45549191040479,47.16418526892947,SMA_200,48.83991560473486,36.13014674856263,43.5852796579691,2y
GOOG,-7.3074718494915425,-42.58156866086962,16.925633277505835,20.055041314386045,42.5430793960475,SMA_200,49.64064382263841,45.882467424340476,45.95533107640526,2y
AAPL,45.07883788833863,-2.7158039017903257,-8.915123289741555,-24.880613995878086,9.292838344736243,SMA_20,-3.954198056853442,-39.07798456789821,-47.173420763407336,2y
NFLX,-6.106979320304761,4.41561608757185,56.11013850536397,64.2281466608751,60.091231959591916,SMA_150,81.26428975743123,54.45394354081882,86.1867590717642,2y
CRWD,15.247202577231233,78.39279189597984,95.08542258527717,40.40986464143429,91.16787819166812,SMA_100,77.51631721480847,75.1005319410812,101.63219937944544,2y
PANW,4.352231410605178,-29.83778092526823,-30.674145364678374,30.185248185008373,56.38181718555473,SMA_200,66.03760353952788,8.547449635269777,12.560335100211162,2y
NTAP,8.262453177178209,14.113043008302428,7.883304636827448,4.602713158415761,34.276660327499485,SMA_200,72.65808278709967,27.046663997505572,45.70283831705802,3y
