Ticker,SMA_20,SMA_50,SMA_100,SMA_150,SMA_200,Best_SMA,Golden_Cross_50_200,Golden_Cross_20_150,Golden_Cross_50_150
NTAP,57.1671817702726,20.59944726777464,14.839077266197254,30.068370983117276,42.22294775895752,SMA_20,31.466254076223766,32.92433321298584,39.21544466331455
NVDA,151.40517294140298,122.07523731091894,148.69314719752066,199.35201928332788,155.9291700995085,SMA_150,155.9291700995085,217.5311453995283,209.7026520727915
META,52.52135086665193,90.16261148214593,117.64616789983076,117.68779243589779,92.49806449192326,SMA_150,92.49806449192326,57.368825672670674,74.34719632597786
SMCI,129.86346025381891,111.30956935786173,243.3372012501435,277.7943952379351,273.69728122180044,SMA_150,273.69728122180044,292.83199459428636,292.83199459428636
LLY,27.744270790659908,35.633546407438054,85.97070287839517,74.91632949514715,89.14818118326532,SMA_200,74.0648025512933,60.586556913380996,31.402988584808433
SPY,-2.273102695739515,-12.948415953136728,10.011593609002912,13.175836133106522,19.919578011865624,SMA_200,29.856171294362653,6.831480312293559,23.868886548676972
QQQ,20.872100939070613,14.706955589830596,23.262380848673423,31.282691650472394,41.59988655659199,SMA_200,41.59988655659199,24.66613827039548,35.777527056724054
BTC-USD,-47.50821761932366,62.346039571669884,41.47004743339701,115.71165065906072,109.89641032035429,SMA_150,35.68275592318804,80.84815052971004,49.45630194254507
TSLA,144.05479396749973,34.40999877305468,-12.364361644792176,-43.810429277551286,-2.181021551623219,SMA_20,-59.68900519514676,-58.231632066223895,-2.051799933457732
SNOW,-166.36957503371002,-39.006144923164335,-88.4502095472887,-54.01357255468786,-61.76980060724523,SMA_50,-57.731815901393034,-113.68834411635032,-102.37804169747645
MSFT,-8.198680608479991,31.483069362746097,-0.1256415856872528,41.45549191040479,47.16418526892947,SMA_200,48.83991560473486,36.13014674856263,43.5852796579691
GOOG,-7.3074718494915425,-42.58156866086962,16.925633277505835,20.055041314386045,42.5430793960475,SMA_200,49.64064382263841,45.882467424340476,45.95533107640526
AAPL,45.07883788833863,-2.7158039017903257,-8.915123289741555,-24.880613995878086,9.292838344736243,SMA_20,-3.954198056853442,-39.07798456789821,-47.173420763407336
NFLX,-6.106979320304761,4.41561608757185,56.11013850536397,64.2281466608751,60.091231959591916,SMA_150,81.26428975743123,54.45394354081882,86.1867590717642
CRWD,15.247202577231233,78.39279189597984,95.08542258527717,40.40986464143429,91.16787819166812,SMA_100,77.51631721480847,75.1005319410812,101.63219937944544
PANW,4.352231410605178,-29.83778092526823,-30.674145364678374,30.185248185008373,56.38181718555473,SMA_200,66.03760353952788,8.547449635269777,12.560335100211162
